S 235;;
Deplacement (mm);Force (N);
0;16.00;0
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;16.00;
0;79.98;
0;127.96;
0;111.97;
0;111.97;
0.00280166435506241;47.99;
0.00513638465094776;95.97;
0.00513638465094776;111.97;
0.00513638465094776;95.97;
0.00513638465094776;111.97;
0.00793804900601017;95.97;
0.00793804900601017;111.97;
0.00793804900601017;111.97;
0.0102727693018956;95.97;
0.0102727693018956;111.97;
0.0102727693018956;111.97;
0.0130744336569579;95.97;
0.0130744336569579;127.96;
0.0130744336569579;143.96;
0.0130744336569579;159.95;
0.0158760980120203;143.96;
0.0182108183079057;143.96;
0.0182108183079057;159.95;
0.0182108183079057;207.94;
0.0182108183079057;191.94;
0.0182108183079057;207.94;
0.0182108183079057;191.94;
0.0182108183079057;223.94;
0.0182108183079057;239.93;
0.0182108183079057;255.93;
0.0182108183079057;255.93;
0.0182108183079057;271.92;
0.0182108183079057;287.92;
0.0182108183079057;335.9;
0.0182108183079057;447.87;
0.021012482662968;367.89;
0.021012482662968;495.86;
0.021012482662968;559.84;
0.021012482662968;703.8;
0.0238141470180306;623.82;
0.0238141470180306;767.78;
0.0238141470180306;847.75;
0.0238141470180306;911.74;
0.0238141470180306;1007.71;
0.0261488673139159;1071.69;
0.0261488673139159;1151.67;
0.0261488673139159;1215.65;
0.0261488673139159;1279.63;
0.0261488673139159;1343.61;
0.0261488673139159;1423.59;
0.0289505316689783;1487.57;
0.0289505316689783;1567.55;
0.0289505316689783;1631.53;
0.0289505316689783;1695.51;
0.0289505316689783;1743.5;
0.0289505316689783;1807.48;
0.0289505316689783;1855.46;
0.0289505316689783;1903.45;
0.0289505316689783;1999.42;
0.0312852519648636;1935.44;
0.0312852519648636;2031.41;
0.0312852519648636;2063.4;
0.0312852519648636;2079.4;
0.0312852519648636;2111.39;
0.0312852519648636;2111.39;
0.0312852519648636;2143.38;
0.0312852519648636;2159.38;
0.0312852519648636;2175.37;
0.0312852519648636;2191.37;
0.034086916319926;2143.38;
0.034086916319926;2159.38;
0.034086916319926;2175.37;
0.034086916319926;2191.37;
0.034086916319926;2207.36;
0.034086916319926;2223.36;
0.034086916319926;2239.35;
0.034086916319926;2255.35;
0.034086916319926;2287.34;
0.034086916319926;2319.33;
0.034086916319926;2351.32;
0.034086916319926;2367.32;
0.034086916319926;2415.3;
0.0368885806749884;2431.3;
0.0368885806749884;2463.29;
0.0368885806749884;2479.28;
0.0368885806749884;2511.27;
0.0368885806749884;2527.27;
0.0368885806749884;2559.26;
0.0368885806749884;2623.24;
0.0368885806749884;2687.22;
0.0392233009708738;2591.25;
0.0392233009708738;2655.23;
0.0392233009708738;2719.21;
0.0392233009708738;2751.2;
0.0392233009708738;2783.2;
0.0392233009708738;2815.19;
0.0420249653259363;2847.18;
0.0420249653259363;2879.17;
0.0420249653259363;2911.16;
0.0420249653259363;2959.14;
0.0420249653259363;2991.14;
0.0420249653259363;3039.12;
0.0420249653259363;3119.1;
0.0420249653259363;3183.08;
0.0443596856218215;3071.11;
0.0443596856218215;3151.09;
0.0443596856218215;3215.07;
0.0443596856218215;3263.06;
0.0443596856218215;3295.05;
0.0443596856218215;3359.03;
0.0443596856218215;3391.02;
0.0443596856218215;3439.01;
0.0443596856218215;3486.99;
0.0443596856218215;3534.98;
0.0471613499768839;3566.97;
0.0471613499768839;3630.95;
0.0471613499768839;3662.94;
0.0471613499768839;3710.93;
0.0471613499768839;3726.92;
0.0471613499768839;3774.91;
0.0471613499768839;3854.89;
0.0499630143319464;3790.9;
0.0499630143319464;3822.89;
0.0499630143319464;3822.89;
0.0499630143319464;3870.88;
0.0499630143319464;3886.88;
0.0499630143319464;3902.87;
0.0499630143319464;3934.86;
0.0499630143319464;3982.85;
0.0499630143319464;4014.84;
0.0499630143319464;4046.83;
0.0522977346278317;3950.86;
0.0522977346278317;4062.83;
0.0522977346278317;4094.82;
0.0522977346278317;4158.8;
0.0550993989828942;4126.81;
0.0550993989828942;4190.79;
0.0550993989828942;4222.78;
0.0550993989828942;4254.77;
0.0550993989828942;4286.76;
0.0550993989828942;4318.75;
0.0550993989828942;4350.74;
0.0550993989828942;4398.73;
0.0550993989828942;4462.71;
0.0550993989828942;4574.68;
0.0579010633379566;4366.74;
0.0579010633379566;4430.72;
0.0579010633379566;4494.7;
0.0579010633379566;4526.69;
0.0579010633379566;4542.69;
0.0579010633379566;4606.67;
0.0579010633379566;4638.66;
0.0579010633379566;4654.65;
0.0579010633379566;4702.64;
0.0579010633379566;4766.62;
0.0602357836338418;4734.63;
0.0602357836338418;4798.61;
0.0602357836338418;4830.6;
0.0602357836338418;4862.59;
0.0602357836338418;4910.58;
0.0602357836338418;4926.58;
0.0602357836338418;4958.57;
0.0602357836338418;5022.55;
0.0630374479889043;4990.56;
0.0630374479889043;5054.54;
0.0630374479889043;5086.53;
0.0630374479889043;5134.52;
0.0630374479889043;5182.5;
0.0630374479889043;5278.47;
0.0653721682847897;5230.49;
0.0653721682847897;5326.46;
0.0653721682847897;5390.44;
0.0653721682847897;5422.43;
0.0653721682847897;5486.41;
0.0653721682847897;5534.4;
0.0653721682847897;5582.39;
0.0653721682847897;5694.35;
0.0681738326398521;5630.37;
0.0681738326398521;5742.34;
0.0681738326398521;5806.32;
0.0681738326398521;5854.31;
0.0681738326398521;5918.29;
0.0681738326398521;5950.28;
0.0681738326398521;6014.26;
0.0681738326398521;6206.21;
0.0709754969949145;6046.25;
0.0709754969949145;6094.24;
0.0709754969949145;6142.22;
0.0709754969949145;6254.19;
0.0709754969949145;6302.18;
0.0709754969949145;6366.16;
0.0709754969949145;6414.15;
0.0709754969949145;6526.11;
0.0733102172907998;6462.13;
0.0733102172907998;6590.09;
0.0733102172907998;6654.08;
0.0733102172907998;6702.06;
0.0733102172907998;6766.04;
0.0733102172907998;6830.03;
0.0733102172907998;6894.01;
0.0733102172907998;6957.99;
0.0733102172907998;7021.97;
0.0761118816458622;7069.96;
0.0761118816458622;7133.94;
0.0761118816458622;7181.92;
0.0761118816458622;7245.91;
0.0784466019417476;7293.89;
0.0784466019417476;7357.87;
0.0784466019417476;7421.85;
0.0784466019417476;7485.84;
0.0784466019417476;7533.82;
0.0784466019417476;7597.8;
0.0784466019417476;7661.78;
0.0784466019417476;7709.77;
0.0784466019417476;7821.74;
0.0784466019417476;7869.72;
0.0784466019417476;7917.71;
0.08124826629681;7757.76;
0.08124826629681;7965.7;
0.08124826629681;8029.68;
0.08124826629681;8077.66;
0.08124826629681;8109.66;
0.08124826629681;8157.64;
0.08124826629681;8173.64;
0.08124826629681;8157.64;
0.0840499306518724;8157.64;
0.0840499306518724;8157.64;
0.0840499306518724;8157.64;
0.0840499306518724;8141.65;
0.0840499306518724;8141.65;
0.0840499306518724;8125.65;
0.0840499306518724;8109.66;
0.0863846509477577;8093.66;
0.0863846509477577;8077.66;
0.0863846509477577;8045.67;
0.0863846509477577;8029.68;
0.0863846509477577;7997.69;
0.0891863153028202;7965.7;
0.0891863153028202;7917.71;
0.0891863153028202;7885.72;
0.0891863153028202;7837.73;
0.0891863153028202;7805.74;
0.0891863153028202;7773.75;
0.0891863153028202;7757.76;
0.0891863153028202;7757.76;
0.0919879796578826;7757.76;
0.0919879796578826;7757.76;
0.0919879796578826;7757.76;
0.0919879796578826;7757.76;
0.0919879796578826;7773.75;
0.0943226999537679;7773.75;
0.0943226999537679;7789.75;
0.0943226999537679;7789.75;
0.0943226999537679;7805.74;
0.0943226999537679;7805.74;
0.0943226999537679;7821.74;
0.0971243643088305;7821.74;
0.0971243643088305;7837.73;
0.0971243643088305;7837.73;
0.0971243643088305;7837.73;
0.0971243643088305;7837.73;
0.0971243643088305;7837.73;
0.0971243643088305;7837.73;
0.0971243643088305;7853.73;
0.0971243643088305;7853.73;
0.0971243643088305;7869.72;
0.0971243643088305;7869.72;
0.0994590846047155;7869.72;
0.0994590846047155;7869.72;
0.0994590846047155;7885.72;
0.0994590846047155;7885.72;
0.0994590846047155;7885.72;
0.102260748959778;7885.72;
0.102260748959778;7885.72;
0.102260748959778;7901.72;
0.102260748959778;7901.72;
0.102260748959778;7901.72;
0.102260748959778;7917.71;
0.105062413314841;7917.71;
0.105062413314841;7917.71;
0.105062413314841;7917.71;
0.105062413314841;7917.71;
0.105062413314841;7901.72;
0.105062413314841;7917.71;
0.105062413314841;7917.71;
0.105062413314841;7917.71;
0.105062413314841;7917.71;
0.107397133610727;7933.71;
0.107397133610727;7933.71;
0.107397133610727;7933.71;
0.107397133610727;7949.7;
0.107397133610727;7949.7;
0.110198797965788;7949.7;
0.110198797965788;7949.7;
0.110198797965788;7949.7;
0.110198797965788;7949.7;
0.110198797965788;7949.7;
0.110198797965788;7949.7;
0.110198797965788;7949.7;
0.110198797965788;7949.7;
0.112533518261674;7949.7;
0.112533518261674;7933.71;
0.112533518261674;7933.71;
0.112533518261674;7917.71;
0.112533518261674;7917.71;
0.112533518261674;7901.72;
0.115335182616737;7901.72;
0.115335182616737;7901.72;
0.115335182616737;7901.72;
0.115335182616737;7901.72;
0.115335182616737;7917.71;
0.115335182616737;7917.71;
0.115335182616737;7917.71;
0.118136846971798;7917.71;
0.118136846971798;7917.71;
0.118136846971798;7917.71;
0.118136846971798;7933.71;
0.118136846971798;7933.71;
0.118136846971798;7949.7;
0.120471567267684;7949.7;
0.120471567267684;7949.7;
0.120471567267684;7933.71;
0.120471567267684;7933.71;
0.120471567267684;7933.71;
0.123273231622747;7933.71;
0.123273231622747;7933.71;
0.123273231622747;7933.71;
0.123273231622747;7933.71;
0.123273231622747;7933.71;
0.123273231622747;7949.7;
0.123273231622747;7949.7;
0.123273231622747;7949.7;
0.123273231622747;7949.7;
0.123273231622747;7949.7;
0.126074895977809;7949.7;
0.126074895977809;7933.71;
0.126074895977809;7949.7;
0.126074895977809;7949.7;
0.126074895977809;7949.7;
0.128409616273694;7949.7;
0.128409616273694;7965.7;
0.128409616273694;7965.7;
0.128409616273694;7981.69;
0.128409616273694;7981.69;
0.128409616273694;7981.69;
0.128409616273694;7981.69;
0.131211280628756;7981.69;
0.131211280628756;7981.69;
0.131211280628756;7981.69;
0.131211280628756;7981.69;
0.131211280628756;7981.69;
0.131211280628756;7981.69;
0.131211280628756;7981.69;
0.131211280628756;7981.69;
0.133546000924641;7981.69;
0.133546000924641;7981.69;
0.133546000924641;7981.69;
0.133546000924641;7981.69;
0.133546000924641;7981.69;
0.133546000924641;7981.69;
0.136347665279704;7981.69;
0.136347665279704;7981.69;
0.136347665279704;7981.69;
0.136347665279704;7997.69;
0.136347665279704;7997.69;
0.136347665279704;8013.68;
0.136347665279704;8029.68;
0.136347665279704;8045.67;
0.139149329634766;8061.67;
0.139149329634766;8061.67;
0.139149329634766;8093.66;
0.139149329634766;8109.66;
0.139149329634766;8125.65;
0.139149329634766;8141.65;
0.141484049930651;8125.65;
0.141484049930651;8141.65;
0.141484049930651;8157.64;
0.141484049930651;8157.64;
0.141484049930651;8173.64;
0.141484049930651;8157.64;
0.141484049930651;8173.64;
0.141484049930651;8173.64;
0.141484049930651;8189.63;
0.141484049930651;8189.63;
0.144285714285714;8205.63;
0.144285714285714;8205.63;
0.144285714285714;8221.62;
0.144285714285714;8221.62;
0.144285714285714;8221.62;
0.1466204345816;8221.62;
0.1466204345816;8237.62;
0.1466204345816;8237.62;
0.1466204345816;8253.61;
0.1466204345816;8253.61;
0.1466204345816;8269.61;
0.1466204345816;8269.61;
0.1466204345816;8285.6;
0.149422098936661;8269.61;
0.149422098936661;8285.6;
0.149422098936661;8285.6;
0.149422098936661;8301.6;
0.152223763291724;8285.6;
0.152223763291724;8301.6;
0.152223763291724;8301.6;
0.152223763291724;8317.6;
0.152223763291724;8317.6;
0.152223763291724;8317.6;
0.152223763291724;8333.59;
0.152223763291724;8333.59;
0.152223763291724;8333.59;
0.15455848358761;8349.59;
0.15455848358761;8349.59;
0.15455848358761;8349.59;
0.15455848358761;8365.58;
0.15455848358761;8365.58;
0.15455848358761;8365.58;
0.157360147942671;8381.58;
0.157360147942671;8381.58;
0.157360147942671;8381.58;
0.157360147942671;8381.58;
0.157360147942671;8397.57;
0.157360147942671;8397.57;
0.157360147942671;8397.57;
0.157360147942671;8397.57;
0.160161812297735;8413.57;
0.160161812297735;8413.57;
0.160161812297735;8429.56;
0.160161812297735;8429.56;
0.160161812297735;8429.56;
0.160161812297735;8429.56;
0.160161812297735;8445.56;
0.162496532593621;8445.56;
0.162496532593621;8445.56;
0.162496532593621;8445.56;
0.162496532593621;8461.55;
0.162496532593621;8461.55;
0.165298196948683;8477.55;
0.165298196948683;8461.55;
0.165298196948683;8477.55;
0.165298196948683;8477.55;
0.165298196948683;8493.54;
0.165298196948683;8493.54;
0.167632917244568;8493.54;
0.167632917244568;8493.54;
0.167632917244568;8493.54;
0.167632917244568;8493.54;
0.167632917244568;8509.54;
0.167632917244568;8509.54;
0.167632917244568;8525.54;
0.170434581599631;8525.54;
0.170434581599631;8525.54;
0.170434581599631;8525.54;
0.170434581599631;8541.53;
0.170434581599631;8541.53;
0.170434581599631;8557.53;
0.170434581599631;8557.53;
0.170434581599631;8557.53;
0.173236245954693;8557.53;
0.173236245954693;8573.52;
0.173236245954693;8557.53;
0.173236245954693;8573.52;
0.173236245954693;8573.52;
0.173236245954693;8589.52;
0.173236245954693;8573.52;
0.173236245954693;8589.52;
0.173236245954693;8589.52;
0.173236245954693;8605.51;
0.175570966250578;8605.51;
0.175570966250578;8621.51;
0.175570966250578;8605.51;
0.175570966250578;8621.51;
0.178372630605641;8621.51;
0.178372630605641;8621.51;
0.178372630605641;8621.51;
0.178372630605641;8637.5;
0.178372630605641;8621.51;
0.178372630605641;8637.5;
0.178372630605641;8637.5;
0.178372630605641;8653.5;
0.178372630605641;8637.5;
0.180707350901526;8653.5;
0.180707350901526;8653.5;
0.180707350901526;8669.49;
0.180707350901526;8653.5;
0.183509015256588;8669.49;
0.183509015256588;8669.49;
0.183509015256588;8669.49;
0.183509015256588;8669.49;
0.183509015256588;8685.49;
0.183509015256588;8685.49;
0.183509015256588;8701.48;
0.183509015256588;8701.48;
0.183509015256588;8701.48;
0.186310679611651;8701.48;
0.186310679611651;8717.48;
0.186310679611651;8701.48;
0.186310679611651;8717.48;
0.186310679611651;8717.48;
0.186310679611651;8717.48;
0.186310679611651;8717.48;
0.186310679611651;8733.47;
0.186310679611651;8717.48;
0.188645399907536;8733.47;
0.188645399907536;8733.47;
0.188645399907536;8733.47;
0.188645399907536;8733.47;
0.191447064262598;8749.47;
0.191447064262598;8749.47;
0.191447064262598;8765.47;
0.191447064262598;8749.47;
0.191447064262598;8765.47;
0.191447064262598;8765.47;
0.191447064262598;8765.47;
0.191447064262598;8765.47;
0.19424872861766;8781.46;
0.19424872861766;8781.46;
0.19424872861766;8781.46;
0.19424872861766;8781.46;
0.19424872861766;8797.46;
0.19424872861766;8797.46;
0.196583448913545;8781.46;
0.196583448913545;8797.46;
0.196583448913545;8797.46;
0.196583448913545;8797.46;
0.196583448913545;8813.45;
0.196583448913545;8813.45;
0.199385113268608;8813.45;
0.199385113268608;8813.45;
0.199385113268608;8829.45;
0.199385113268608;8829.45;
0.199385113268608;8829.45;
0.199385113268608;8829.45;
0.199385113268608;8829.45;
0.199385113268608;8845.44;
0.201719833564494;8829.45;
0.201719833564494;8845.44;
0.201719833564494;8845.44;
0.201719833564494;8845.44;
0.201719833564494;8861.44;
0.201719833564494;8861.44;
0.204521497919556;8845.44;
0.204521497919556;8861.44;
0.204521497919556;8845.44;
0.204521497919556;8861.44;
0.204521497919556;8877.43;
0.204521497919556;8861.44;
0.204521497919556;8877.43;
0.207323162274618;8877.43;
0.207323162274618;8893.43;
0.207323162274618;8893.43;
0.207323162274618;8893.43;
0.207323162274618;8893.43;
0.207323162274618;8909.42;
0.207323162274618;8893.43;
0.207323162274618;8893.43;
0.209657882570504;8893.43;
0.209657882570504;8909.42;
0.209657882570504;8893.43;
0.209657882570504;8909.42;
0.209657882570504;8925.42;
0.212459546925566;8909.42;
0.212459546925566;8909.42;
0.212459546925566;8925.42;
0.212459546925566;8909.42;
0.212459546925566;8925.42;
0.212459546925566;8925.42;
0.212459546925566;8941.41;
0.214794267221451;8925.42;
0.214794267221451;8941.41;
0.214794267221451;8941.41;
0.214794267221451;8957.41;
0.214794267221451;8941.41;
0.214794267221451;8957.41;
0.214794267221451;8941.41;
0.214794267221451;8957.41;
0.217595931576514;8957.41;
0.217595931576514;8957.41;
0.217595931576514;8957.41;
0.217595931576514;8973.41;
0.217595931576514;8957.41;
0.217595931576514;8973.41;
0.220397595931577;8957.41;
0.220397595931577;8973.41;
0.220397595931577;8973.41;
0.220397595931577;8973.41;
0.220397595931577;8973.41;
0.220397595931577;8989.4;
0.220397595931577;8989.4;
0.222732316227461;8973.41;
0.222732316227461;8989.4;
0.222732316227461;9005.4;
0.222732316227461;9005.4;
0.222732316227461;9005.4;
0.222732316227461;9005.4;
0.222732316227461;9005.4;
0.222732316227461;8989.4;
0.225533980582525;9005.4;
0.225533980582525;9005.4;
0.225533980582525;9005.4;
0.225533980582525;9005.4;
0.225533980582525;9021.39;
0.225533980582525;9037.39;
0.228335644937587;9021.39;
0.228335644937587;9021.39;
0.228335644937587;9037.39;
0.228335644937587;9021.39;
0.228335644937587;9037.39;
0.228335644937587;9021.39;
0.228335644937587;9037.39;
0.228335644937587;9037.39;
0.228335644937587;9037.39;
0.228335644937587;9053.38;
0.230670365233472;9037.39;
0.230670365233472;9037.39;
0.230670365233472;9053.38;
0.230670365233472;9037.39;
0.233472029588535;9053.38;
0.233472029588535;9053.38;
0.233472029588535;9069.38;
0.233472029588535;9053.38;
0.233472029588535;9069.38;
0.233472029588535;9053.38;
0.233472029588535;9069.38;
0.23580674988442;9069.38;
0.23580674988442;9069.38;
0.23580674988442;9069.38;
0.23580674988442;9085.37;
0.23580674988442;9069.38;
0.23580674988442;9085.37;
0.23580674988442;9085.37;
0.23580674988442;9085.37;
0.238608414239482;9085.37;
0.238608414239482;9085.37;
0.238608414239482;9085.37;
0.238608414239482;9101.37;
0.238608414239482;9085.37;
0.238608414239482;9101.37;
0.238608414239482;9085.37;
0.238608414239482;9101.37;
0.241410078594545;9085.37;
0.241410078594545;9101.37;
0.241410078594545;9085.37;
0.241410078594545;9101.37;
0.241410078594545;9101.37;
0.241410078594545;9117.36;
0.241410078594545;9133.36;
0.243744798890431;9117.36;
0.243744798890431;9117.36;
0.243744798890431;9133.36;
0.246546463245492;9117.36;
0.246546463245492;9117.36;
0.246546463245492;9117.36;
0.246546463245492;9133.36;
0.246546463245492;9117.36;
0.246546463245492;9133.36;
0.246546463245492;9133.36;
0.246546463245492;9133.36;
0.248881183541378;9133.36;
0.248881183541378;9149.35;
0.248881183541378;9133.36;
0.248881183541378;9149.35;
0.248881183541378;9133.36;
0.248881183541378;9149.35;
0.248881183541378;9133.36;
0.248881183541378;9149.35;
0.251682847896441;9149.35;
0.251682847896441;9149.35;
0.251682847896441;9149.35;
0.251682847896441;9165.35;
0.251682847896441;9165.35;
0.251682847896441;9181.35;
0.251682847896441;9165.35;
0.254484512251503;9165.35;
0.254484512251503;9165.35;
0.254484512251503;9165.35;
0.254484512251503;9165.35;
0.254484512251503;9165.35;
0.254484512251503;9165.35;
0.254484512251503;9181.35;
0.256819232547388;9165.35;
0.256819232547388;9181.35;
0.256819232547388;9181.35;
0.256819232547388;9181.35;
0.256819232547388;9181.35;
0.256819232547388;9181.35;
0.256819232547388;9197.34;
0.25962089690245;9181.35;
0.25962089690245;9181.35;
0.25962089690245;9197.34;
0.25962089690245;9197.34;
0.25962089690245;9197.34;
0.25962089690245;9197.34;
0.262422561257513;9197.34;
0.262422561257513;9197.34;
0.262422561257513;9213.34;
0.262422561257513;9197.34;
0.262422561257513;9213.34;
0.262422561257513;9197.34;
0.262422561257513;9213.34;
0.264757281553398;9213.34;
0.264757281553398;9213.34;
0.264757281553398;9213.34;
0.264757281553398;9213.34;
0.264757281553398;9213.34;
0.264757281553398;9213.34;
0.264757281553398;9213.34;
0.264757281553398;9213.34;
0.26755894590846;9213.34;
0.26755894590846;9229.33;
0.26755894590846;9229.33;
0.26755894590846;9229.33;
0.26755894590846;9229.33;
0.26755894590846;9245.33;
0.26755894590846;9229.33;
0.269893666204345;9229.33;
0.269893666204345;9245.33;
0.269893666204345;9229.33;
0.269893666204345;9229.33;
0.269893666204345;9229.33;
0.269893666204345;9229.33;
0.269893666204345;9245.33;
0.272695330559408;9245.33;
0.272695330559408;9245.33;
0.272695330559408;9245.33;
0.272695330559408;9261.32;
0.272695330559408;9261.32;
0.27549699491447;9245.33;
0.27549699491447;9245.33;
0.27549699491447;9261.32;
0.27549699491447;9245.33;
0.27549699491447;9261.32;
0.27549699491447;9245.33;
0.27549699491447;9261.32;
0.27549699491447;9261.32;
0.27549699491447;9261.32;
0.277831715210355;9261.32;
0.277831715210355;9261.32;
0.277831715210355;9261.32;
0.277831715210355;9277.32;
0.277831715210355;9261.32;
0.277831715210355;9277.32;
0.280633379565418;9261.32;
0.280633379565418;9277.32;
0.280633379565418;9261.32;
0.280633379565418;9277.32;
0.280633379565418;9261.32;
0.280633379565418;9277.32;
0.280633379565418;9277.32;
0.280633379565418;9277.32;
0.282968099861304;9277.32;
0.282968099861304;9277.32;
0.282968099861304;9277.32;
0.282968099861304;9293.31;
0.282968099861304;9277.32;
0.282968099861304;9293.31;
0.285769764216366;9277.32;
0.285769764216366;9293.31;
0.285769764216366;9277.32;
0.285769764216366;9293.31;
0.285769764216366;9277.32;
0.285769764216366;9293.31;
0.285769764216366;9293.31;
0.285769764216366;9309.31;
0.288571428571429;9293.31;
0.288571428571429;9309.31;
0.288571428571429;9293.31;
0.288571428571429;9309.31;
0.290906148867314;9293.31;
0.290906148867314;9309.31;
0.290906148867314;9309.31;
0.290906148867314;9309.31;
0.290906148867314;9309.31;
0.290906148867314;9309.31;
0.290906148867314;9309.31;
0.293707813222377;9309.31;
0.293707813222377;9309.31;
0.293707813222377;9325.3;
0.293707813222377;9309.31;
0.293707813222377;9325.3;
0.293707813222377;9309.31;
0.293707813222377;9325.3;
0.293707813222377;9325.3;
0.293707813222377;9325.3;
0.296509477577439;9309.31;
0.296509477577439;9309.31;
0.296509477577439;9325.3;
0.296509477577439;9341.3;
0.296509477577439;9325.3;
0.296509477577439;9341.3;
0.298844197873325;9325.3;
0.298844197873325;9341.3;
0.298844197873325;9325.3;
0.298844197873325;9341.3;
0.298844197873325;9325.3;
0.298844197873325;9341.3;
0.298844197873325;9325.3;
0.298844197873325;9341.3;
0.301645862228387;9325.3;
0.301645862228387;9341.3;
0.301645862228387;9341.3;
0.301645862228387;9341.3;
0.301645862228387;9341.3;
0.301645862228387;9341.3;
0.303980582524272;9341.3;
0.303980582524272;9341.3;
0.303980582524272;9341.3;
0.303980582524272;9357.29;
0.303980582524272;9341.3;
0.303980582524272;9357.29;
0.306782246879335;9341.3;
0.306782246879335;9357.29;
0.306782246879335;9341.3;
0.306782246879335;9357.29;
0.306782246879335;9341.3;
0.306782246879335;9357.29;
0.306782246879335;9357.29;
0.309583911234397;9341.3;
0.309583911234397;9341.3;
0.309583911234397;9357.29;
0.309583911234397;9357.29;
0.309583911234397;9373.29;
0.309583911234397;9357.29;
0.309583911234397;9373.29;
0.311918631530282;9357.29;
0.311918631530282;9373.29;
0.311918631530282;9357.29;
0.311918631530282;9373.29;
0.311918631530282;9357.29;
0.311918631530282;9373.29;
0.311918631530282;9373.29;
